barrio,comuna,categoria_general,subcategoria,cantidad_establecimientos,porcentaje_sobre_total_barrio,estado_datos,fuentes_utilizadas,urls_fuentes,fecha_consulta_min,fecha_consulta_max,nota_metodologica,limitaciones,apto_dashboard
Saavedra,12,Restaurante,Restaurante,12,48.0,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Saavedra,12,Cafe,Cafe,10,40.0,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Saavedra,12,Bar,Bar,2,8.0,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Saavedra,12,Parrilla,Parrilla,1,4.0,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
San Cristobal,3,Requiere validacion,Requiere validacion,7,77.78,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
San Cristobal,3,Parrilla,Parrilla,1,11.11,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
San Cristobal,3,Restaurante,Restaurante,1,11.11,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
San Nicolas,1,Restaurante,Restaurante,274,60.22,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
San Nicolas,1,Bar,Bar,74,16.26,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
San Nicolas,1,Cafe,Cafe,65,14.29,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
San Nicolas,1,Pasteleria,Pasteleria,22,4.84,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
San Nicolas,1,Pizzeria,Pizzeria,9,1.98,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
San Nicolas,1,Requiere validacion,Requiere validacion,9,1.98,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
San Nicolas,1,Catering,Catering,1,0.22,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
San Nicolas,1,Parrilla,Parrilla,1,0.22,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
San Telmo,1,Restaurante,Restaurante,46,57.5,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
San Telmo,1,Bar,Bar,24,30.0,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
San Telmo,1,Cafe,Cafe,4,5.0,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
San Telmo,1,Pasteleria,Pasteleria,2,2.5,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
San Telmo,1,Pizzeria,Pizzeria,2,2.5,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
San Telmo,1,No gastronomico,No gastronomico,1,1.25,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
San Telmo,1,Parrilla,Parrilla,1,1.25,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Velez Sarsfield,10,Restaurante,Restaurante,12,100.0,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Versalles,10,Restaurante,Restaurante,4,40.0,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Versalles,10,Cafe,Cafe,2,20.0,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Versalles,10,Pasteleria,Pasteleria,2,20.0,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Versalles,10,Pizzeria,Pizzeria,1,10.0,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Versalles,10,Requiere validacion,Requiere validacion,1,10.0,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Villa Crespo,15,Restaurante,Restaurante,19,44.19,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Villa Crespo,15,Requiere validacion,Requiere validacion,14,32.56,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Villa Crespo,15,Bar,Bar,3,6.98,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Villa Crespo,15,Cafe,Cafe,3,6.98,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Villa Crespo,15,Pasteleria,Pasteleria,2,4.65,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Villa Crespo,15,Pizzeria,Pizzeria,2,4.65,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Villa Devoto,11,Restaurante,Restaurante,19,59.38,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Villa Devoto,11,Bar,Bar,7,21.88,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Villa Devoto,11,Cafe,Cafe,4,12.5,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Villa Devoto,11,Requiere validacion,Requiere validacion,2,6.25,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Villa Lugano,8,Bar,Bar,4,40.0,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Villa Lugano,8,Cafe,Cafe,3,30.0,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Villa Lugano,8,Pasteleria,Pasteleria,2,20.0,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Villa Lugano,8,Pizzeria,Pizzeria,1,10.0,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Villa Luro,10,Restaurante,Restaurante,2,66.67,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Villa Luro,10,Cafe,Cafe,1,33.33,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Villa Ortuzar,15,Restaurante,Restaurante,10,52.63,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Villa Ortuzar,15,Bar,Bar,4,21.05,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Villa Ortuzar,15,Cafe,Cafe,4,21.05,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Villa Ortuzar,15,Requiere validacion,Requiere validacion,1,5.26,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Villa Pueyrredon,12,Restaurante,Restaurante,9,69.23,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Villa Pueyrredon,12,Bar,Bar,2,15.38,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Villa Pueyrredon,12,Cafe,Cafe,2,15.38,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Villa Real,10,Cafe,Cafe,2,50.0,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Villa Real,10,Requiere validacion,Requiere validacion,2,50.0,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Villa Riachuelo,8,Restaurante,Restaurante,4,66.67,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Villa Riachuelo,8,Cafe,Cafe,2,33.33,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Villa Santa Rita,11,Restaurante,Restaurante,3,75.0,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Villa Santa Rita,11,Cafe,Cafe,1,25.0,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Villa Soldati,8,Cafe,Cafe,2,100.0,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Villa Urquiza,12,Restaurante,Restaurante,10,38.46,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Villa Urquiza,12,Pizzeria,Pizzeria,5,19.23,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Villa Urquiza,12,Requiere validacion,Requiere validacion,5,19.23,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Villa Urquiza,12,Bar,Bar,4,15.38,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Villa Urquiza,12,Cafe,Cafe,1,3.85,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Villa Urquiza,12,Parrilla,Parrilla,1,3.85,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Villa del Parque,11,Restaurante,Restaurante,5,55.56,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Villa del Parque,11,Bar,Bar,2,22.22,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Villa del Parque,11,Pizzeria,Pizzeria,2,22.22,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
