id_espacio,id_fuente,tipo_espacio,nombre,descripcion,direccion,barrio,comuna,latitud,longitud,calidad_geo,dias_funcionamiento,horarios,productos,url_fuente,fecha_consulta,origen_dato,estado_datos,calidad_dato,requiere_validacion,motivo_validacion,limitaciones,observaciones,id_ubicacion
ESP00001,F03,Mercado,CENTRO DE ABASTECIMIENTO MUNICIPAL Nº 72,Centro de abastecimiento municipal / mercado,AV. CORDOBA 1750,San Nicolas,1,No disponible,No disponible,sin_geo,No disponible,No disponible,No disponible,https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,si,Mercado sin coordenadas de fuente; no geocodificado,Sin coordenadas de fuente; no mapear hasta contar con geometria oficial,CAM Nº 72,UD1B36
ESP00002,F03,Mercado,CENTRO DE ABASTECIMIENTO MUNIPAL Nº 27,Centro de abastecimiento municipal / mercado,AV. SAENZ 790,Nueva Pompeya,4,No disponible,No disponible,sin_geo,No disponible,No disponible,No disponible,https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,si,Mercado sin coordenadas de fuente; no geocodificado,Sin coordenadas de fuente; no mapear hasta contar con geometria oficial,CAM Nº 27,U9554B
ESP00003,F03,Mercado,CENTRO DE ABASTECIMIENTO MUNICIPAL Nº 116,Centro de abastecimiento municipal / mercado,EZEIZA Y NAZCA,Villa Pueyrredon,12,No disponible,No disponible,sin_geo,No disponible,No disponible,No disponible,https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,si,Mercado sin coordenadas de fuente; no geocodificado,Sin coordenadas de fuente; no mapear hasta contar con geometria oficial,CAM Nº 116,UEA8D5
ESP00004,F03,Mercado,CENTRO DE ABASTECIMIENTO MUNICIPAL Nº 128,Centro de abastecimiento municipal / mercado,AV. JURAMENTO 2527,Belgrano,13,No disponible,No disponible,sin_geo,No disponible,No disponible,No disponible,https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,si,Mercado sin coordenadas de fuente; no geocodificado,Sin coordenadas de fuente; no mapear hasta contar con geometria oficial,CAM Nº 128,U7FA8F
ESP00005,F03,Mercado,Mercado Comunitario Primera Junta,Centro de abastecimiento municipal / mercado,AV. RIVADAVIA Y ROJAS,Caballito,6,No disponible,No disponible,sin_geo,No disponible,No disponible,No disponible,https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,si,Mercado sin coordenadas de fuente; no geocodificado,Sin coordenadas de fuente; no mapear hasta contar con geometria oficial,MC PRIMERA JUNTA,UB6E19
ESP00006,F03,Mercado,M1,Centro de abastecimiento municipal / mercado,AV. ALVAREZ THOMAS Y DORREGO,Chacarita,15,No disponible,No disponible,sin_geo,No disponible,No disponible,No disponible,https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,si,Mercado sin coordenadas de fuente; no geocodificado,Sin coordenadas de fuente; no mapear hasta contar con geometria oficial,M1,U79DE8
ESP00007,F03,Feria especializada,Parque Los Andes,MANUALIDADES Y ANTIGÜEDADES,CORRIENTES AV. Y DORREGO AV.,Chacarita,15,-34.59175882,-58.44790009,fuente_oficial,"SABADO, DOMINGOS Y FERIADOS",No disponible,MANUALIDADES Y ANTIGÜEDADES,https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,no,Espacio de feria publicado por fuente oficial,Feria especializada/no alimentaria; no mezclar con FIAB sin aclaracion metodologica,NA,U292E6
ESP00008,F03,Feria especializada,Mercado De Las Pulgas,ANTIGÜEDADES,"CORRIENTES AV. Y ARENAL, CONCEPCION",Chacarita,15,-34.58965268,-58.450172,fuente_oficial,MARTES A DOMINGO,No disponible,ANTIGÜEDADES,https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,no,Espacio de feria publicado por fuente oficial,Feria especializada/no alimentaria; no mezclar con FIAB sin aclaracion metodologica,NA,U67916
ESP00009,F03,Feria especializada,Paseo Centenario,MANUALIDADES Y ANTIGÜEDADES,"PATRICIAS ARGENTINAS AV. Y MACHADO, ANTONIO",Caballito,6,-34.60459011,-58.43607955,fuente_oficial,"SABADO, DOMINGOS Y FERIADOS",No disponible,MANUALIDADES Y ANTIGÜEDADES,https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,no,Espacio de feria publicado por fuente oficial,Feria especializada/no alimentaria; no mezclar con FIAB sin aclaracion metodologica,NA,U6AFD7
ESP00010,F03,Feria especializada,PLAZOLETA 1º JUNTA,LIBROS USADOS,RIVADAVIA AV. Y BARCO CENTENERA DEL,Caballito,6,-34.62082179,-58.44169232,fuente_oficial,MARTES A DOMINGO,No disponible,LIBROS USADOS,https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,no,Espacio de feria publicado por fuente oficial,Feria especializada/no alimentaria; no mezclar con FIAB sin aclaracion metodologica,NA,U41E96
ESP00011,F03,Feria especializada,Feria Parque Centenario,ARTESANIAS,DIAZ VELEZ AV. Y CAMPICHUELO,Caballito,6,-34.60827707,-58.43677832,fuente_oficial,"SABADO, DOMINGOS Y FERIADOS",No disponible,ARTESANIAS,https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,no,Espacio de feria publicado por fuente oficial,Feria especializada/no alimentaria; no mezclar con FIAB sin aclaracion metodologica,NA,U59FF0
ESP00012,F03,Feria especializada,Parque Centenario,LIBROS USADOS,"LILLO AV. Y MARECHAL, LEOPOLDO",Caballito,6,-34.60724714,-58.43780354,fuente_oficial,MARTES A DOMINGO,No disponible,LIBROS USADOS,https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,no,Espacio de feria publicado por fuente oficial,Feria especializada/no alimentaria; no mezclar con FIAB sin aclaracion metodologica,NA,U46DB0
ESP00013,F03,Feria especializada,Parque Rivadavia,"LIBROS USADOS, ANTIGÜEDADES, FILATELIA Y NUMISMATICA",ROSARIO Y BEAUCHEF,Caballito,6,-34.61886702,-58.43435528,fuente_oficial,MARTES A DOMINGO,No disponible,"LIBROS USADOS, ANTIGÜEDADES, FILATELIA Y NUMISMATICA",https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,no,Espacio de feria publicado por fuente oficial,Feria especializada/no alimentaria; no mezclar con FIAB sin aclaracion metodologica,NA,UF2068
ESP00014,F03,Feria especializada,Paseo Parque Patricios,MANUALIDADES Y ANTIGÜEDADES,CASEROS AV. Y ALMAFUERTE AV.,Parque Patricios,4,-34.63752094,-58.4066399,fuente_oficial,"SABADO, DOMINGOS Y FERIADOS",No disponible,MANUALIDADES Y ANTIGÜEDADES,https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,no,Espacio de feria publicado por fuente oficial,Feria especializada/no alimentaria; no mezclar con FIAB sin aclaracion metodologica,NA,UF253C
ESP00015,F03,Feria especializada,Parque De Los Patricios,LIBROS USADOS,CASEROS AV. Y MONTEAGUDO,Parque Patricios,4,-34.63774711,-58.40572652,fuente_oficial,MARTES A DOMINGO,No disponible,LIBROS USADOS,https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,no,Espacio de feria publicado por fuente oficial,Feria especializada/no alimentaria; no mezclar con FIAB sin aclaracion metodologica,NA,U7A8D3
ESP00016,F03,Feria especializada,Paseo Alberdi,MANUALIDADES Y ANTIGÜEDADES,"DE LA TORRE, LISANDRO AV. Y DIRECTORIO AV.",Mataderos,9,-34.66012396,-58.50277343,fuente_oficial,"SABADO, DOMINGOS Y FERIADOS",No disponible,MANUALIDADES Y ANTIGÜEDADES,https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,no,Espacio de feria publicado por fuente oficial,Feria especializada/no alimentaria; no mezclar con FIAB sin aclaracion metodologica,NA,U70CBB
ESP00017,F03,Feria especializada,PASEO HUMBERTO 1º,MANUALIDADES Y ANTIGÜEDADES,HUMBERTO 1º Y DEFENSA,San Telmo,1,-34.6205753,-58.37156472,fuente_oficial,"SABADO, DOMINGOS Y FERIADOS",No disponible,MANUALIDADES Y ANTIGÜEDADES,https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,no,Espacio de feria publicado por fuente oficial,Feria especializada/no alimentaria; no mezclar con FIAB sin aclaracion metodologica,NA,U14F1A
ESP00018,F03,Feria especializada,Paseo Lezama,MANUALIDADES Y ANTIGÜEDADES,"GARCIA, MARTIN AV. Y PASEO COLON AV.",San Telmo,1,-34.62694943,-58.36830735,fuente_oficial,"SABADO, DOMINGOS Y FERIADOS",No disponible,MANUALIDADES Y ANTIGÜEDADES,https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,no,Espacio de feria publicado por fuente oficial,Feria especializada/no alimentaria; no mezclar con FIAB sin aclaracion metodologica,NA,UD22A9
ESP00019,F03,Feria especializada,Feria Parque Lezama,ARTESANIAS,BRASIL AV. Y DEFENSA,San Telmo,1,-34.62553784,-58.37085191,fuente_oficial,"SABADO, DOMINGOS Y FERIADOS",No disponible,ARTESANIAS,https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,no,Espacio de feria publicado por fuente oficial,Feria especializada/no alimentaria; no mezclar con FIAB sin aclaracion metodologica,NA,U66415
ESP00020,F03,Feria especializada,Paseo Saavedra,MANUALIDADES Y ANTIGÜEDADES,"GARCIA DEL RIO Y PEREZ, ROQUE",Saavedra,12,-34.55190399,-58.48065889,fuente_oficial,"SABADO, DOMINGOS Y FERIADOS",No disponible,MANUALIDADES Y ANTIGÜEDADES,https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,no,Espacio de feria publicado por fuente oficial,Feria especializada/no alimentaria; no mezclar con FIAB sin aclaracion metodologica,NA,U454A3
ESP00021,F03,Feria especializada,Paseo Avellaneda,MANUALIDADES Y ANTIGÜEDADES,DIRECTORIO AV. Y LACARRA,Parque Avellaneda,9,-34.64154017,-58.47990624,fuente_oficial,"SABADO, DOMINGOS Y FERIADOS",No disponible,MANUALIDADES Y ANTIGÜEDADES,https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,no,Espacio de feria publicado por fuente oficial,Feria especializada/no alimentaria; no mezclar con FIAB sin aclaracion metodologica,NA,U628EA
ESP00022,F03,Feria especializada,Paseo Palerno Viejo,MANUALIDADES Y ANTIGÜEDADES,MALABIA Y COSTA RICA,Palermo,14,-34.58928236,-58.42506938,fuente_oficial,"SABADO, DOMINGOS Y FERIADOS",No disponible,MANUALIDADES Y ANTIGÜEDADES,https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,no,Espacio de feria publicado por fuente oficial,Feria especializada/no alimentaria; no mezclar con FIAB sin aclaracion metodologica,NA,U16324
ESP00023,F03,Feria especializada,Paseo Cortazar,MANUALIDADES Y ANTIGÜEDADES,HONDURAS Y SERRANO,Palermo,14,-34.58873732,-58.43023004,fuente_oficial,"SABADO, DOMINGOS Y FERIADOS",No disponible,MANUALIDADES Y ANTIGÜEDADES,https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,no,Espacio de feria publicado por fuente oficial,Feria especializada/no alimentaria; no mezclar con FIAB sin aclaracion metodologica,NA,UB45D3
ESP00024,F03,Feria especializada,Plazoleta Santa Fe,LIBROS USADOS,SANTA FE AV. Y THAMES,Palermo,14,-34.5801663,-58.42293249,fuente_oficial,MARTES A DOMINGO,No disponible,LIBROS USADOS,https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,no,Espacio de feria publicado por fuente oficial,Feria especializada/no alimentaria; no mezclar con FIAB sin aclaracion metodologica,NA,U220D9
ESP00025,F03,Feria especializada,Feria Plaza Italia,ARTESANIAS,SANTA FE AV. Y URIARTE,Palermo,14,-34.58138336,-58.4206421,fuente_oficial,"SABADO, DOMINGOS Y FERIADOS",No disponible,ARTESANIAS,https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,no,Espacio de feria publicado por fuente oficial,Feria especializada/no alimentaria; no mezclar con FIAB sin aclaracion metodologica,NA,U9C314
ESP00026,F03,Feria especializada,Paseo El Retiro,MANUALIDADES Y ANTIGÜEDADES,CALABRIA AV. Y LANTERI JULIETA,Puerto Madero,1,-34.61293466,-58.3588419,fuente_oficial,"SABADO, DOMINGOS Y FERIADOS",No disponible,MANUALIDADES Y ANTIGÜEDADES,https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,no,Espacio de feria publicado por fuente oficial,Feria especializada/no alimentaria; no mezclar con FIAB sin aclaracion metodologica,NA,U44CEE
ESP00027,F03,Feria especializada,Plazoleta Tango,LIBROS USADOS,CORRIENTES AV. Y ROSALES AV.,San Nicolas,1,-34.603064,-58.36862355,fuente_oficial,MARTES A DOMINGO,No disponible,LIBROS USADOS,https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,no,Espacio de feria publicado por fuente oficial,Feria especializada/no alimentaria; no mezclar con FIAB sin aclaracion metodologica,NA,U0A9E5
ESP00028,F03,Feria especializada,Plaza Lavalle,LIBROS USADOS,LAVALLE Y TALCAHUANO,San Nicolas,1,-34.60242381,-58.38451951,fuente_oficial,MARTES A DOMINGO,No disponible,LIBROS USADOS,https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,no,Espacio de feria publicado por fuente oficial,Feria especializada/no alimentaria; no mezclar con FIAB sin aclaracion metodologica,NA,U326E2
ESP00029,F03,Feria especializada,Paseo Manuel Belgrano,MANUALIDADES Y ANTIGÜEDADES,JURAMENTO AV. Y CUBA,Belgrano,13,-34.56142283,-58.45499783,fuente_oficial,"SABADO, DOMINGOS Y FERIADOS",No disponible,MANUALIDADES Y ANTIGÜEDADES,https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,no,Espacio de feria publicado por fuente oficial,Feria especializada/no alimentaria; no mezclar con FIAB sin aclaracion metodologica,NA,U2FCF3
ESP00030,F03,Feria especializada,Feria Plaza M. Belgrano,ARTESANIAS,JURAMENTO AV. Y VUELTA DE OBLIGADO,Belgrano,13,-34.56174678,-58.45498469,fuente_oficial,"SABADO, DOMINGOS Y FERIADOS",No disponible,ARTESANIAS,https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,no,Espacio de feria publicado por fuente oficial,Feria especializada/no alimentaria; no mezclar con FIAB sin aclaracion metodologica,NA,U5FB8D
ESP00031,F03,Feria especializada,Paseo Recoleta,MANUALIDADES Y ANTIGÜEDADES,PUEYRREDON AV. Y DEL LIBERTADOR AV.,Recoleta,2,-34.58555904,-58.39209747,fuente_oficial,"SABADO, DOMINGOS Y FERIADOS",No disponible,MANUALIDADES Y ANTIGÜEDADES,https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,no,Espacio de feria publicado por fuente oficial,Feria especializada/no alimentaria; no mezclar con FIAB sin aclaracion metodologica,NA,UE772F
ESP00032,F03,Feria especializada,Plaza Houssay,LIBROS USADOS,CORDOBA AV. Y JUNIN,Recoleta,2,-34.59946898,-58.39819611,fuente_oficial,MARTES A DOMINGO,No disponible,LIBROS USADOS,https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,no,Espacio de feria publicado por fuente oficial,Feria especializada/no alimentaria; no mezclar con FIAB sin aclaracion metodologica,NA,UE029A
ESP00033,F03,Feria especializada,Feria Intendente Alvear,ARTESANIAS,DEL LIBERTADOR AV. Y ALVEAR AV.,Recoleta,2,-34.58542761,-58.39072446,fuente_oficial,"SABADO, DOMINGOS Y FERIADOS",No disponible,ARTESANIAS,https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,no,Espacio de feria publicado por fuente oficial,Feria especializada/no alimentaria; no mezclar con FIAB sin aclaracion metodologica,NA,U7C427
ESP00034,F03,Feria especializada,Feria Plaza Houssay,ARTESANIAS,CORDOBA AV. Y JUNIN,Recoleta,2,-34.59941877,-58.39756286,fuente_oficial,MARTES A VIERNES,No disponible,ARTESANIAS,https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,no,Espacio de feria publicado por fuente oficial,Feria especializada/no alimentaria; no mezclar con FIAB sin aclaracion metodologica,FRENTE FAC. CS.EC.,UE029A
ESP00035,F03,Feria especializada,Paseo Vuelta De Rocha,MANUALIDADES Y ANTIGÜEDADES,"DON PEDRO DE MENDOZA AV. Y VALLE IBERLUCEA DEL, DR.",No determinado,4,-34.63943125,-58.36164281,fuente_oficial,"SABADO, DOMINGOS Y FERIADOS",No disponible,MANUALIDADES Y ANTIGÜEDADES,https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,no,Espacio de feria publicado por fuente oficial,Feria especializada/no alimentaria; no mezclar con FIAB sin aclaracion metodologica,NA,U9BF21
ESP00036,F03,Feria especializada,Feria Vuelta De Rocha,ARTESANIAS,DON PEDRO DE MENDOZA AV. Y PALOS,No determinado,4,-34.63891745,-58.3601794,fuente_oficial,JUEVES Y VIERNES / SABADO Y DOMINGOS,No disponible,ARTESANIAS,https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,no,Espacio de feria publicado por fuente oficial,Feria especializada/no alimentaria; no mezclar con FIAB sin aclaracion metodologica,NA,U990C5
FIAB00037,F03,FIAB,Fiab 5,nan,ROJAS 1201,Villa Crespo,15,-34.60657162,-58.44791472,fuente_oficial,MARTES,de 8:00 a 14:00hs,"Frutihorticolas, pescadería, panadería, especies y legumbres, granja y carnes, fiambres y lácteos",https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,no,Coordenadas provistas por GeoJSON FIAB,nan,nan,UAF7A8
FIAB00038,F03,FIAB,Fiab 11,nan,"ARENAL, CONCEPCION y CORRIENTES AV., CABA",Chacarita,15,-34.59073621,-58.449732,fuente_oficial,VIERNES,de 8:00 a 14:00hs,"Frutihorticolas, pescadería, mascotas, especies y legumbres, granja y carnes, fiambres y lácteos",https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,no,Coordenadas provistas por GeoJSON FIAB,nan,nan,U063F3
FIAB00039,F03,FIAB,Fiab 2,nan,"YRURTIA, ROGELIO y PALMA, ATHOS",Saavedra,12,-34.56362669,-58.50453264,fuente_oficial,MARTES,de 8:00 a 14:00hs,"Frutihorticolas, pescadería, plantas, especies y legumbres, granja y carnes, fiambres y lácteos",https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,no,Coordenadas provistas por GeoJSON FIAB,nan,nan,UF5D65
FIAB00040,F03,FIAB,Fiab 12,nan,SARMIENTO y BULNES,Almagro,5,-34.60528531,-58.41903151,fuente_oficial,SABADO,de 8:00 a 14:00hs,"Frutihorticolas, pescadería, panadería, plantas, especies y legumbres, granja y carnes, fiambres y lácteos, limpieza",https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,no,Coordenadas provistas por GeoJSON FIAB,nan,nan,U376D9
FIAB00041,F03,FIAB,Fiab 5,nan,"SEGUI, F. J., ALTE. y GAONA AV.",Caballito,6,-34.61431798,-58.45684706,fuente_oficial,MIERCOLES,de 8:00 a 14:00hs,"Frutihorticolas, pescadería, panadería, especies y legumbres, granja y carnes, fiambres y lácteos",https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,no,Coordenadas provistas por GeoJSON FIAB,nan,nan,U9313D
FIAB00042,F03,FIAB,Fiab 5,nan,HIDALGO y BACACAY,Caballito,6,-34.61692528,-58.4393689,fuente_oficial,SABADO,de 8:00 a 14:00hs,"Frutihorticolas, pescadería, panadería, especies y legumbres, granja y carnes, fiambres y lácteos",https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,no,Coordenadas provistas por GeoJSON FIAB,nan,nan,U7B790
FIAB00043,F03,FIAB,Fiab 5,nan,"SEGUI, F. J., ALTE. y NEUQUEN",Caballito,6,-34.61472172,-58.45698548,fuente_oficial,DOMINGO,de 8:00 a 14:00hs,"Frutihorticolas, pescadería, panadería, especies y legumbres, granja y carnes, fiambres y lácteos",https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,no,Coordenadas provistas por GeoJSON FIAB,nan,nan,U74F96
FIAB00044,F03,FIAB,Fiab 10,nan,"BRUNO, GIORDANO y NEUQUEN",Caballito,6,-34.61666056,-58.44101316,fuente_oficial,JUEVES,de 8:00 a 14:00hs,"Frutihorticolas, pescadería, especies y legumbres, granja y carnes, fiambres y lácteos",https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,no,Coordenadas provistas por GeoJSON FIAB,nan,nan,U83F54
FIAB00045,F03,FIAB,Fiab 12,nan,"PATRICIAS ARGENTINAS AV. 400, CABA",Caballito,6,-34.60551962,-58.43477548,fuente_oficial,MARTES,de 8:00 a 14:00hs,"Frutihorticolas, pescadería, panadería, plantas, especies y legumbres, granja y carnes, fiambres y lácteos, limpieza",https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,no,Coordenadas provistas por GeoJSON FIAB,nan,nan,U4E7D8
FIAB00046,F03,FIAB,Fiab 12,nan,"REPUBLICA DOMINICANA y SALGUERO, JERONIMO, CABA",Palermo,14,-34.58965836,-58.41529154,fuente_oficial,DOMINGO,de 8:00 a 14:00hs,"Frutihorticolas, pescadería, panadería, plantas, especies y legumbres, granja y carnes, fiambres y lácteos, limpieza",https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,no,Coordenadas provistas por GeoJSON FIAB,nan,nan,UAFBB0
FIAB00047,F03,FIAB,Fiab 4,nan,CUBA 4400,Nunez,13,-34.54154233,-58.47071752,fuente_oficial,MARTES,de 8:00 a 14:00hs,"Frutihorticolas, pescadería, panadería, plantas, especies y legumbres, granja y carnes, fiambres y lácteos",https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,no,Coordenadas provistas por GeoJSON FIAB,nan,nan,UA0216
