id_evento,nombre_evento,descripcion,fecha_inicio,fecha_fin,anio,periodicidad,id_ubicacion,ubicacion_original,direccion_original,barrio,comuna,id_organizador,tipo_organizador,id_fuente,url_fuente,fecha_consulta,tipo_evento,categoria_gastronomica,gratuito,requiere_inscripcion,cantidad_asistentes_estimada,cantidad_puestos_estimada,apoyo_gcba,organismo_gcba_relacionado,area_gcba_relacionada,tipo_vinculo_gcba,estado,link_evento,fuente,tipo_fuente,calidad_dato_original,calidad_dato_normalizada,calidad_dato,requiere_validacion,motivo_validacion,apto_dashboard,fecha_completa,limitaciones,observaciones,origen_dato,estado_datos
F04-001,Cafecito BA (edicion abril 2026),"Feria de cafeterias y pastelerias al aire libre con cafe de especialidad, shows en vivo y actividades familiares",2026-04-18,2026-04-19,2026,Varias ediciones por anio,U16A60,Plaza de las Naciones Unidas,"Av. Pres. Figueroa Alcorta 2901, CABA",No determinado,2 (inferido),O002,Publico,F04,https://buenosaires.gob.ar/gcaba_historico/noticias/este-fin-de-semana-vuelve-cafecito-ba,2026-06-10,Festival,Cafe y pasteleria,Entrada libre - consumo pago,No publico; Si comercios,No disponible,Mas de 25,Si,Ministerio de Desarrollo Economico,BA Capital Gastronomica / DG Desarrollo Gastronomico,Organizador principal,semiestructurado,https://buenosaires.gob.ar/gcaba_historico/noticias/este-fin-de-semana-vuelve-cafecito-ba,GCBA - Noticias,Oficial,Alta,Alta,Alta,no,No disponible,si,si,Asistencia acumulada 2025 es declaracion oficial sin dataset,En 2025 hubo 7 ediciones con mas de 350.000 asistentes acumulados segun GCBA. Convocatoria a comercios en Boletin Oficial: https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-DIS-MDECGC-DGDGAS-11-26-ANX.pdf,relevamiento_manual_trazable,datos reales semiestructurados
F04-002,Cafecito BA en tu barrio - edicion Belgrano,"Edicion descentralizada del ciclo Cafecito BA con 14 puestos de cafe, biblioteca y cine al aire libre, juegos y musica en vivo",2025-08-23,2025-08-24,2025,Ciclo itinerante por barrios,U54C63,La Glorieta - Barrancas de Belgrano,"11 de Septiembre y Echeverria, CABA",Belgrano,13,O004,Publico,F04,https://buenosaires.gob.ar/gcaba_historico/noticias/cafecito-ba-en-tu-barrio-un-fin-de-semana-con-sabor-cafe-en-belgrano,2026-06-10,Festival,Cafe y pasteleria,Entrada libre - consumo pago,No,No disponible,14,Si,Ministerio de Desarrollo Economico,BA Capital Gastronomica,Organizador principal,semiestructurado,https://buenosaires.gob.ar/gcaba_historico/noticias/cafecito-ba-en-tu-barrio-un-fin-de-semana-con-sabor-cafe-en-belgrano,GCBA - Noticias,Oficial,Media,Media,Media,si,Fechas exactas tomadas de prensa local (ADNciudad); la nota oficial recuperada no muestra las fechas en el extracto,requiere_validacion,si,Cifra acumulada del ciclo (150.000) no corresponde a esta edicion,Fuente complementaria de fechas: https://www.adnciudad.com/index.php/18252-cafecito-ba-en-belgrano. El ciclo acumulaba mas de 150.000 asistentes segun GCBA,relevamiento_manual_trazable,datos reales semiestructurados
F04-003,Cafecito BA en tu barrio - edicion Parque Chacabuco,"Edicion reducida del ciclo Cafecito BA con 15 puestos de cafe, cine y biblioteca al aire libre, juegos y musica en vivo",2025-09-13,2025-09-14,2025,Ciclo itinerante por barrios,U12EAE,Parque Chacabuco,"Parque Chacabuco, CABA",Parque Chacabuco,7,O004,Publico,F04,https://buenosaires.gob.ar/noticias/cafecito-ba-en-tu-barrio-este-fin-de-semana-en-el-parque-chacabuco,2026-06-10,Festival,Cafe y pasteleria,Entrada libre - consumo pago,No,No disponible,15,Si,Ministerio de Desarrollo Economico,BA Capital Gastronomica,Organizador principal,semiestructurado,https://buenosaires.gob.ar/noticias/cafecito-ba-en-tu-barrio-este-fin-de-semana-en-el-parque-chacabuco,GCBA - Noticias,Oficial,Alta,Alta,Alta,no,No disponible,si,si,No disponible,Parte del mismo ciclo que F04-002,relevamiento_manual_trazable,datos reales semiestructurados
F04-004,FECA - Festival de Cafe (5ta edicion),"Festival de cafe de la Ciudad con mercado de cafe, patio gastronomico, charlas y shows, en el marco de la Semana FECA",2022-06-11,2022-06-12,2022,Anual con varias ediciones (1ra edicion 2017),U009A7,Plaza Intendente Seeber,"Av. del Libertador y Av. Sarmiento, CABA",No determinado,14 (inferido),O000,Publico con colaboracion de camara privada,F04,https://buenosaires.gob.ar/desarrolloeconomico/gastronomia/noticias/vuelve-feca-festival-de-cafe-con-promociones-y-actividades,2026-06-10,Festival,Cafe,Entrada libre - consumo pago,No,No disponible,26 puestos de mercado y 6 de patio gastronomico,Si,Ministerio de Desarrollo Economico y Produccion,Subsecretaria de Politicas Gastronomicas / BA Capital Gastronomica,Organizador principal,semiestructurado,https://buenosaires.gob.ar/desarrolloeconomico/gastronomia/noticias/vuelve-feca-festival-de-cafe-con-promociones-y-actividades,GCBA - Noticias,Oficial,Alta,Alta,Alta,no,No disponible,si,si,Hubo una 6ta edicion posterior cuyo anio no esta confirmado con fuente datada,Pagina del festival: https://buenosaires.gob.ar/desarrolloeconomico/gastronomia/feca. Visita oficial: https://buenosaires.gob.ar/jefedegobierno/noticias/rodriguez-larreta-asistio-feca-el-festival-de-cafe-en-plaza-seeber,relevamiento_manual_trazable,datos reales semiestructurados
F04-005,Campeonato Federal del Asado (3ra edicion),"Competencia federal de asadores con 24 duplas de provincias y CABA, patios gastronomicos y shows",2018-09-22,2018-09-22,2018,Anual con interrupciones,U50FAA,Mataderos - Parque Alberdi,"Lisandro de la Torre entre Av. de los Corrales y Av. Directorio, CABA",Mataderos,9,O004,Publico,F04,https://buenosaires.gob.ar/laciudad/noticias/el-campeonato-federal-del-asado-se-muda-mataderos,2026-06-10,Concurso,Asado y carnes,Si,No publico; Si competidores (seleccion via UTHGRA),No disponible,24 duplas mas parrillas y puestos,Si,GCBA,BA Capital Gastronomica,Organizador principal,semiestructurado,https://buenosaires.gob.ar/laciudad/noticias/el-campeonato-federal-del-asado-se-muda-mataderos,GCBA - Noticias,Oficial,Alta,Alta,Alta,no,No disponible,si,si,Dato historico,Cobertura oficial posterior: https://buenosaires.gob.ar/gobierno/noticias/fiestas-nacionales-y-provinciales-participaron-del-campeonato-federal-del-asado,relevamiento_manual_trazable,datos reales semiestructurados
F04-006,Campeonato Federal del Asado (4ta edicion),Cuarta edicion en Av. 9 de Julio con escenario cultural en Av. de Mayo y convocatoria a 24 duplas,Requiere validacion,Requiere validacion,Requiere validacion,Anual con interrupciones,U29ABF,Av. 9 de Julio,"Av. 9 de Julio entre Av. Corrientes y Av. de Mayo, CABA",No determinado,1 (inferido),O004,Publico,F04,https://buenosaires.gob.ar/desarrolloeconomico/gastronomia/noticias/el-campeonato-federal-del-asado-busca-sus-24-concursantes,2026-06-10,Concurso,Asado y carnes,Si,No publico; Si competidores,No disponible,24 concursantes,Si,Ministerio de Desarrollo Economico,BA Capital Gastronomica,Organizador principal,semiestructurado,https://buenosaires.gob.ar/desarrolloeconomico/gastronomia/noticias/el-campeonato-federal-del-asado-busca-sus-24-concursantes,GCBA - Noticias,Oficial,Media,Media,Media,si,"La nota indica 14 de agosto pero no consigna el anio en el texto recuperado (probable 2022, inferido)",no,no,Fecha incompleta,Completar anio abriendo la nota completa o cruzando con Boletin Oficial,relevamiento_manual_trazable,datos reales semiestructurados
F04-007,Vendimia BA (1ra edicion),"Celebracion portenia de la vendimia en el Distrito del Vino junto al Gobierno de Mendoza, con shows y actividades",2022-03-04,2022-03-07,2022,Anual (vinculada a la Fiesta Nacional de la Vendimia),U90601,Distrito del Vino - Plaza Arenales,"Plaza Arenales (Av. Chivilcoy y Nueva York), Villa Devoto, CABA",Villa Devoto,11,O004,Publico interjurisdiccional,F04,https://buenosaires.gob.ar/desarrolloeconomico/gastronomia/noticias/la-ciudad-organiza-vendimia-ba-del-4-al-7-de-marzo,2026-06-10,Festival,Vino,Si,No,No disponible,No disponible,Si,Ministerio de Desarrollo Economico y Produccion / Ente de Turismo,BA Capital Gastronomica,Organizador principal,semiestructurado,https://buenosaires.gob.ar/desarrolloeconomico/gastronomia/noticias/la-ciudad-organiza-vendimia-ba-del-4-al-7-de-marzo,GCBA - Noticias,Oficial,Alta,Alta,Alta,no,No disponible,si,si,Dato historico,Cobertura complementaria: https://buenosaires.gob.ar/gcaba_historico/noticias/llega-la-fiesta-de-la-vendimia-la-ciudad,relevamiento_manual_trazable,datos reales semiestructurados
F04-008,Feria del Distrito del Vino,"Primera feria masiva del Distrito del Vino con unas 40 bodegas, charlas de enologia y shows, con peatonalizacion de calles linderas",2023-05-20,2023-05-20,2023,Primera edicion (continuidad a validar),U3FFB3,Plaza Arenales,"Plaza Arenales y calles Nueva York, Mercedes, Pareja y Bahia Blanca, Villa Devoto, CABA",Villa Devoto,11,O005,Publico,F04,https://www.infobae.com/economia/2023/05/20/villa-devoto-se-inaugura-el-distrito-del-vino-una-apuesta-que-potencia-viviendas-y-el-paseo-comercial/,2026-06-10,Feria,Vino,Entrada libre - consumo pago,No,20000,Aprox. 40 bodegas,Si,Ministerio de Desarrollo Economico y Produccion,Distrito del Vino,Organizador principal,semiestructurado,https://www.infobae.com/economia/2023/05/20/villa-devoto-se-inaugura-el-distrito-del-vino-una-apuesta-que-potencia-viviendas-y-el-paseo-comercial/,Infobae / Devoto Magazine,Prensa,Media,Media,Media,si,No se localizo nota oficial GCBA especifica del evento; la asistencia (20.000) es estimacion de prensa barrial,no,si,Fuente exclusivamente de prensa; asistencia no auditada,Fuente complementaria: https://devotomagazine.com.ar/un-evento-con-asistencia-historica-para-villa-devoto/,relevamiento_manual_trazable,datos reales semiestructurados
F04-009,Festival BA Capital Gastronomica,"Festival insignia del programa, con ganadores de los concursos vecinales (Williamsburg, Las Violetas, La Cabrera) y acompaniamiento de camaras del sector",2022-01-29,2022-01-29,2022,No disponible,U00000,No disponible,No disponible,No disponible,No disponible,O006,Publico,F04,https://www.buenosaires.gob.ar/desarrolloeconomico/el-s%C3%A1bado-llega-el-festival-ba-capital-gastron%C3%B3mica,2026-06-10,Festival,Gastronomia general,Requiere validacion,No,No disponible,No disponible,Si,Ministerio de Desarrollo Economico y Produccion,BA Capital Gastronomica,Organizador principal,semiestructurado,https://www.buenosaires.gob.ar/desarrolloeconomico/el-s%C3%A1bado-llega-el-festival-ba-capital-gastron%C3%B3mica,GCBA - Noticias,Oficial,Media,Media,Media,si,Fecha inferida cruzando con la noticia oficial de pre-apertura del Mercado de los Carruajes (29/01/2022); ubicacion no recuperada,no,si,Sin ubicacion ni datos de magnitud,"Acompaniaron AHRCC, AFADHYA, APPYCE, ACELGA y UTHGRA. Cruce: https://buenosaires.gob.ar/desarrolloeconomico/gastronomia/noticias/la-agenda-de-eventos-gastronomicos-de-la-ciudad",relevamiento_manual_trazable,datos reales semiestructurados
F04-010,Pinto Bodegon (1ra edicion),"Cuatro dias de descuentos y promociones en mas de 50 bodegones, con sorteos en redes de BA Capital Gastronomica",2022-04-19,2022-04-22,2022,Anual con ediciones posteriores,U00000,Bodegones adheridos en toda la Ciudad,Multiples direcciones (mapa interactivo),Multiples barrios,Multiples comunas,O007,Publico con colaboracion de camara privada,F04,https://buenosaires.gob.ar/desarrolloeconomico/gastronomia/noticias/pinto-bodegon-cuatro-dias-de-promociones-en-clasicos-de-la,2026-06-10,Jornada de descuentos,Bodegones / cocina tradicional,No - consumo pago con descuentos,No publico; Si comercios,No disponible,Mas de 50 bodegones,Si,Ministerio de Desarrollo Economico y Produccion,BA Capital Gastronomica,Organizador principal,semiestructurado,https://buenosaires.gob.ar/desarrolloeconomico/gastronomia/noticias/pinto-bodegon-cuatro-dias-de-promociones-en-clasicos-de-la,GCBA - Noticias,Oficial,Alta,Alta,Alta,no,No disponible,si,si,Cantidad de locales es declaracion oficial,Visita oficial: https://buenosaires.gob.ar/jefedegobierno/noticias/rodriguez-larreta-y-lousteau-visitaron-un-restaurante-en-palermo-en-el-marco,relevamiento_manual_trazable,datos reales semiestructurados
F04-011,Pinto Bodegon (2da edicion),"Semana de descuentos de hasta 20% y promociones especiales en mas de 70 bodegones, con propuestas culturales en algunos locales",2024-04-15,2024-04-19,2024,Anual,U00000,Bodegones adheridos en toda la Ciudad,Multiples direcciones (mapa interactivo),Multiples barrios,Multiples comunas,O008,Publico con colaboracion de camara privada,F04,https://buenosaires.gob.ar/noticias/la-ciudad-esta-llevando-cabo-la-segunda-edicion-de-pinto-bodegon,2026-06-10,Jornada de descuentos,Bodegones / cocina tradicional,No - consumo pago con descuentos,No publico; Si comercios,No disponible,Mas de 70 bodegones,Si,Ministerio de Desarrollo Economico,BA Capital Gastronomica / DG Politicas Gastronomicas (segun la nota),Organizador principal,semiestructurado,https://buenosaires.gob.ar/noticias/la-ciudad-esta-llevando-cabo-la-segunda-edicion-de-pinto-bodegon,GCBA - Noticias,Oficial,Alta,Alta,Alta,no,No disponible,si,si,No disponible,Nota de lanzamiento: https://buenosaires.gob.ar/noticias/la-ciudad-presenta-la-segunda-edicion-de-pinto-bodegon,relevamiento_manual_trazable,datos reales semiestructurados
F04-012,Pinto Bodegon (edicion posterior con 30% de descuento),"Semana con 30% de descuento en el ticket final y menues promocionales en mas de 70 bodegones, presentada por el ministro Hernan Lombardi",Requiere validacion,Requiere validacion,Requiere validacion,Anual,U00000,Bodegones adheridos en toda la Ciudad,Multiples direcciones (mapa interactivo),Multiples barrios,Multiples comunas,O009,Publico con colaboracion de camara privada,F04,https://buenosaires.gob.ar/gcaba_historico/noticias/pinto-bodegon-una-semana-para-celebrar-los-clasicos-de-la-gastronomia,2026-06-10,Jornada de descuentos,Bodegones / cocina tradicional,No - consumo pago con descuentos,No publico; Si comercios,No disponible,Mas de 70 bodegones,Si,Ministerio de Desarrollo Economico,BA Capital Gastronomica,Organizador principal,semiestructurado,https://buenosaires.gob.ar/gcaba_historico/noticias/pinto-bodegon-una-semana-para-celebrar-los-clasicos-de-la-gastronomia,GCBA - Noticias,Oficial,Media,Media,Media,si,La nota oficial recuperada no muestra fechas; la mencion de Lombardi como ministro sugiere gestion 2024-2026 (probable 2025),requiere_validacion,no,Fecha incompleta,Continuidad de la marca confirmada por turismo BA (dic 2025): https://turismo.buenosaires.gob.ar/es/article/pint%C3%B3-bodeg%C3%B3n,relevamiento_manual_trazable,datos reales semiestructurados
F04-013,Caminos y Sabores 2025 - participacion GCBA con stand,"Feria federal privada de alimentos, bebidas y turismo; el GCBA participo con stand institucional que recreo bodegones, cafes notables y pizzerias (Cafe Margot, marca Pizza Fuerte de APYCE, Rotiseria Miramar)",2025-07-03,2025-07-06,2025,Anual (feria desde 2005),UDB380,La Rural,"Av. Sarmiento 2704, CABA",Palermo,14,O010,Privado,F04,https://buenosaires.gob.ar/noticias/caminos-y-sabores-2025,2026-06-10,Participacion institucional,Gastronomia regional argentina,No - entrada paga,No,No disponible,No disponible,Si,GCBA,Promocion turistica y gastronomica de la Ciudad,Participacion con stand,semiestructurado,https://buenosaires.gob.ar/noticias/caminos-y-sabores-2025,GCBA - Noticias,Oficial,Alta,Alta,Alta,no,No disponible,si,si,"El evento es privado: las metricas de la feria (productores, visitantes) pertenecen al organizador y no al GCBA. Esta fila documenta la PARTICIPACION institucional, no un evento propio del GCBA",La feria total reunio mas de 550 productores segun el organizador. Pagina del organizador: https://www.exponenciar.com.ar/caminos.html,relevamiento_manual_trazable,datos reales semiestructurados
F04-014,Caminos y Sabores 2026 (20a edicion) - sede BA Ferial,"20a edicion de la feria federal privada, por primera vez en BA Ferial (ex Costa Salguero), con transporte gratuito desde puntos de la Ciudad",2026-07-09,2026-07-12,2026,Anual,U593EF,BA Ferial,"Av. Costanera Rafael Obligado 1221, CABA",Palermo,14,O011,Privado,F04,https://buenosaires.gob.ar/descubrir/caminos-y-sabores,2026-06-10,Feria,Gastronomia regional argentina,No - entrada paga,No,No disponible,"Mas de 500 productores (total feria, no atribuible a CABA)",Si - difusion oficial,Ente de Turismo / GCBA,Turismo Buenos Aires,Difusion oficial,semiestructurado,https://buenosaires.gob.ar/descubrir/caminos-y-sabores,GCBA - Descubri BA / Turismo BA,Oficial (difusion),Media,Media,Media,si,Conflicto de fechas: las paginas oficiales del GCBA indican 9 al 12 de julio pero el sitio del organizador muestra 2 al 5 de julio. Resolver antes del evento,requiere_validacion,si,Evento privado con difusion oficial: no tratar como organizacion GCBA. Totales del organizador no atribuibles a CABA,Fuentes en conflicto: https://turismo.buenosaires.gob.ar/es/article/caminos-y-sabores vs https://www.exponenciar.com.ar/caminos.html,relevamiento_manual_trazable,datos reales semiestructurados
